Name,Gender,DateOfBirth,Age,Standard,Caste,DropoutStatus,DropoutReason,DropoutPrediction,SchoolJoiningDate,StreamAfter10th,DateLeftSchool
Lenka Kemmis,Female,11/13/1944,4,4,SC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,5/23/2002,Commerce,3/23/2005
Elsworth Abrahamovitz,Male,5/23/2013,52,1,General,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,9/2/2005,Commerce,12/24/2001
Spike Cowup,Male,5/19/1923,119,12,ST,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,10/17/2013,Commerce,2/2/1993
Nicola Jacques,Male,8/29/2005,22,8,Other,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,6/26/2018,Other,11/21/2001
Claudianus Eacle,Male,3/4/1936,29,12,Other,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,12/13/2007,Science,10/7/1998
Mendy Weatherhogg,Male,4/23/1984,26,4,SC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,5/4/2011,Commerce,1/21/2011
Almeda Cattermoul,Female,12/3/2011,98,3,General,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,6/26/2015,Science,5/13/1993
Meaghan Andrasch,Female,7/21/2014,56,5,General,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,2/27/2017,Science,2/12/2015
Clarance Boshell,Male,11/13/1974,41,3,ST,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,8/31/2002,Other,2/21/2022
Idalina Goodliffe,Female,2/8/2023,12,12,ST,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,12/12/1999,Science,11/22/2005
Demetria Kynd,Female,11/2/2015,63,5,ST,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,6/13/2005,Other,7/27/2022
Micki Flarity,Female,5/27/1995,32,7,Other,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,5/12/1995,Commerce,3/18/2005
Farleigh Denmead,Male,9/1/1992,112,10,Other,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,6/29/2016,Arts,7/6/2013
Riannon Twelftree,Female,9/23/2012,79,12,Other,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,9/5/2011,Other,8/1/1992
Kalina Smout,Female,4/29/1973,95,9,SC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,1/24/2015,Science,11/27/2012
Gordan Chmarny,Male,4/26/2014,97,7,OBC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,8/6/1998,Arts,9/7/1991
Robin Bodycote,Non-binary,9/2/2007,20,8,ST,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,3/8/1990,Commerce,1/18/1991
Ronalda Peet,Female,10/17/1965,106,6,General,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,3/11/2020,Arts,9/27/1996
Cora Kerswell,Female,9/26/1967,31,7,ST,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,7/23/2009,Arts,7/13/2012
Thedrick Kinnar,Male,11/22/1993,37,2,General,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,9/15/1995,Arts,5/29/2015
Morrie Blodg,Male,9/14/2023,118,0,OBC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,2/14/2016,Science,10/9/2015
Winnah Leschelle,Female,5/24/1974,118,7,General,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,10/25/1999,Science,6/25/1994
Piper Eixenberger,Female,11/26/2016,7,9,General,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,12/29/2002,Science,11/15/1999
Jesus Dey,Male,1/13/1972,8,1,SC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,6/20/2009,Other,4/30/2001
Reed Lahive,Male,4/11/1970,7,5,General,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,5/18/2012,Arts,4/30/2020
Edythe Hamber,Female,5/24/1961,32,12,Other,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,9/2/1997,Science,11/15/2009
Nicolea Braybrooks,Female,10/26/1931,14,3,General,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,12/14/1991,Science,10/8/1997
Rad Ratray,Bigender,5/15/2013,102,6,SC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,12/14/1998,Science,12/16/2021
Ralph Aspital,Male,1/8/1991,98,5,Other,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,3/3/2007,Other,4/12/2005
Kingsley Brosini,Male,6/24/1950,118,0,OBC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,2/16/2009,Other,10/18/2002
